"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPA1",1.59977155956797e-19,0.83718693360107,0.986,0.811,3.58380824774416e-15,"0","PPA1"
"PERP",5.7886993875366e-18,1.13396019058503,0.987,0.661,1.29678443679595e-13,"0","PERP"
"ANXA2",7.87493283144495e-17,0.89138665030872,0.983,0.861,1.7641424529003e-12,"0","ANXA2"
"PRSS23",8.70263502770172e-16,0.890605918800697,0.718,0.322,1.94956429890574e-11,"0","PRSS23"
"PRAP1",8.90418683999475e-15,0.809963286248112,0.634,0.186,1.99471593589562e-10,"0","PRAP1"
"LDHA",1.09608079810696e-14,1.34246243903587,0.976,0.856,2.45544020391921e-10,"0","LDHA"
"IL32",2.9993315792371e-14,0.703322487643942,0.913,0.517,6.71910260380696e-10,"0","IL32"
"CSTB",3.33384762340832e-14,1.35561217797502,0.992,0.825,7.46848544595932e-10,"0","CSTB"
"TM4SF1",3.68573584107338e-14,1.12963570935697,0.706,0.224,8.2567854311726e-10,"0","TM4SF1"
"MIF",7.9887929710582e-14,0.745929462569441,0.987,0.9,1.78964940137646e-09,"0","MIF"
"KRT18",1.37361149371176e-13,1.05120475462797,0.999,0.807,3.07716446821308e-09,"0","KRT18"
"SERPINB6",1.64108466204751e-13,0.731510646580998,0.939,0.655,3.67635785991884e-09,"0","SERPINB6"
"GSTP1",2.6803578733998e-13,0.831066541735611,0.994,0.948,6.00453770799023e-09,"0","GSTP1"
"RAC1",2.74833989088658e-13,0.809616236329407,0.998,0.922,6.15683102356413e-09,"0","RAC1"
"MMP7",2.92153595374038e-13,2.29410275188771,0.501,0.105,6.5448248435692e-09,"0","MMP7"
"PKM",3.20219961967477e-13,0.834000163009117,0.978,0.794,7.17356758799542e-09,"0","PKM"
"S100A11",4.90733941791155e-13,1.15379087901741,0.997,0.871,1.09934217640054e-08,"0","S100A11"
"GAPDH",5.83290316247769e-13,0.773492580197994,1,0.994,1.30668696645825e-08,"0","GAPDH"
"RPL8",1.10804337672341e-12,0.581824807596417,1,0.996,2.48223877253577e-08,"0","RPL8"
